id_entrega,id_pedido,status_entrega,data_envio,data_entrega_prevista,data_entrega_real,transportadora,codigo_rastreio,updated_at
1848,10269,entregue,2025-07-04T00:00:00,2025-07-16,2025-07-19,Azul Cargo,KS490209134BR,2025-08-29T00:00:00
1849,7996,entregue,2024-09-25T00:00:00,2024-10-15,2024-10-13,DHL,YT665238880BR,2025-12-29T00:00:00
1850,3348,entregue,2024-12-26T00:00:00,2025-01-03,2025-01-02,FedEx,LI053281925BR,2025-10-13T00:00:00
1851,6351,entregue,2024-08-29T00:00:00,2024-09-03,2024-09-05,Correios,KY664755282BR,2026-03-16T00:00:00
1852,6405,entregue,2025-03-05T00:00:00,2025-03-08,2025-03-12,DHL,GI738082258BR,2026-02-11T00:00:00
1853,12446,entregue,2024-07-15T00:00:00,2024-07-30,2024-07-29,FedEx,MP005968169BR,2025-12-06T00:00:00
1854,3125,entregue,2024-11-14T00:00:00,2024-11-25,2024-11-29,Correios,FW053888125BR,2025-03-02T00:00:00
1855,10918,entregue,2024-05-18T00:00:00,2024-06-03,2024-06-08,Latam Cargo,BW275914539BR,2024-12-05T00:00:00
1856,8336,entregue,2024-10-11T00:00:00,2024-10-30,2024-10-30,Azul Cargo,ON889788841BR,2025-12-18T00:00:00
1857,994,pendente,2025-11-19T00:00:00,2025-12-01,,JadLog,EL056323078BR,2026-04-21T00:00:00
1858,12798,entregue,2024-02-06T00:00:00,2024-02-14,2024-02-12,FedEx,LK069488256BR,2025-10-05T00:00:00
1859,9620,pendente,2023-09-28T00:00:00,2023-10-12,,Loggi,QJ690694884BR,2025-02-14T00:00:00
1860,897,em_transito,2025-04-16T00:00:00,2025-04-23,,Loggi,YN878774414BR,2025-05-30T00:00:00
1861,6851,entregue,2024-07-07T00:00:00,2024-07-22,2024-07-23,Azul Cargo,EU335596807BR,2025-08-24T00:00:00
1862,2663,em_transito,2024-08-10T00:00:00,2024-08-13,,Azul Cargo,EX976042355BR,2024-12-05T00:00:00
1863,2858,devolvido,2025-07-07T00:00:00,2025-07-11,2025-07-22,Azul Cargo,DY365375426BR,2026-04-26T00:00:00
1864,12976,entregue,2023-10-21T00:00:00,2023-11-08,2023-11-08,Latam Cargo,DI227643671BR,2026-06-04T00:00:00
1865,1295,em_transito,2024-06-18T00:00:00,2024-07-01,,JadLog,WY155322772BR,2025-05-06T00:00:00
1866,2669,pendente,2026-05-31T00:00:00,2026-06-19,,Loggi,RR035311393BR,2026-06-08T00:00:00
1867,4086,entregue,2023-02-12T00:00:00,2023-02-22,2023-02-21,Total Express,BI491933856BR,2023-04-19T00:00:00
1868,7084,entregue,2025-02-23T00:00:00,2025-03-14,2025-03-16,FedEx,EH675082711BR,2026-06-04T00:00:00
1869,9183,entregue,2026-01-17T00:00:00,2026-02-01,2026-02-03,FedEx,WW200881038BR,2026-01-19T00:00:00
1870,7497,em_transito,2023-12-07T00:00:00,2023-12-20,,Total Express,UH433791886BR,2025-01-28T00:00:00
1871,13110,devolvido,2025-11-13T00:00:00,2025-11-16,2025-11-23,Total Express,WW346590842BR,2026-04-24T00:00:00
1872,11108,pendente,2026-05-03T00:00:00,2026-05-11,,Latam Cargo,ES862405504BR,2026-05-15T00:00:00
1873,7099,entregue,2026-02-06T00:00:00,2026-02-16,2026-02-14,FedEx,AA250814580BR,2026-02-25T00:00:00
1874,13167,entregue,2024-04-14T00:00:00,2024-04-23,2024-04-21,Correios,LN590191299BR,2025-02-04T00:00:00
1875,3019,entregue,2024-03-08T00:00:00,2024-03-27,2024-03-26,JadLog,JT891932986BR,2026-01-17T00:00:00
1876,1168,em_transito,2023-08-30T00:00:00,2023-09-13,,Total Express,ZZ811881349BR,2024-03-05T00:00:00
1877,10953,entregue,2024-02-09T00:00:00,2024-02-27,2024-02-29,Correios,LJ042530876BR,2024-06-03T00:00:00
1878,5298,pendente,2023-08-21T00:00:00,2023-09-05,,Azul Cargo,HU879587601BR,2026-05-09T00:00:00
1879,13803,devolvido,2023-01-23T00:00:00,2023-02-07,2023-02-22,JadLog,NI482652756BR,2024-08-19T00:00:00
1880,994,entregue,2025-04-24T00:00:00,2025-04-28,2025-04-28,Azul Cargo,UL783068374BR,2026-05-28T00:00:00
1881,374,em_transito,2025-06-21T00:00:00,2025-07-10,,Latam Cargo,FF284999521BR,2025-10-17T00:00:00
1882,9496,entregue,2025-03-18T00:00:00,2025-04-07,2025-04-11,Total Express,DL005756808BR,2025-05-31T00:00:00
1883,7209,entregue,2025-09-07T00:00:00,2025-09-17,2025-09-16,FedEx,TY264022107BR,2025-10-01T00:00:00
1884,14919,pendente,2024-11-17T00:00:00,2024-11-29,,Loggi,XF770178715BR,2026-05-25T00:00:00
1885,6003,entregue,2024-04-21T00:00:00,2024-05-01,2024-04-29,Total Express,TG309054603BR,2025-09-28T00:00:00
1886,3882,entregue,2024-07-26T00:00:00,2024-08-09,2024-08-13,Loggi,RD804160316BR,2025-02-21T00:00:00
1887,5930,entregue,2023-03-03T00:00:00,2023-03-23,2023-03-21,Latam Cargo,FC381748554BR,2024-01-08T00:00:00
1888,14750,entregue,2026-05-18T00:00:00,2026-05-21,2026-05-19,Loggi,ZF475754455BR,2026-06-10T00:00:00
1889,4549,em_transito,2023-08-19T00:00:00,2023-09-07,,Latam Cargo,GG467769818BR,2025-04-30T00:00:00
1890,12713,em_transito,2023-12-16T00:00:00,2023-12-29,,Latam Cargo,ZF954254526BR,2025-09-26T00:00:00
1891,1501,devolvido,2023-02-04T00:00:00,2023-02-14,2023-02-26,Total Express,FC304182636BR,2023-03-15T00:00:00
1892,11999,devolvido,2024-12-27T00:00:00,2025-01-02,2025-01-15,FedEx,ED264737552BR,2025-01-25T00:00:00
1893,992,pendente,2024-02-01T00:00:00,2024-02-20,,DHL,JD321430270BR,2026-03-30T00:00:00
1894,13406,em_transito,2026-02-16T00:00:00,2026-03-08,,Correios,OC907783249BR,2026-02-27T00:00:00
1895,12321,entregue,2023-10-12T00:00:00,2023-10-23,2023-10-28,Correios,KC482440115BR,2025-03-31T00:00:00
1896,5898,em_transito,2025-12-20T00:00:00,2025-12-29,,FedEx,YK636348027BR,2026-05-28T00:00:00
1897,1190,em_transito,2026-02-25T00:00:00,2026-02-28,,Correios,ER139564057BR,2026-04-17T00:00:00
1898,9551,entregue,2023-09-19T00:00:00,2023-10-01,2023-10-02,FedEx,UE659602025BR,2025-02-21T00:00:00
1899,3354,pendente,2023-02-28T00:00:00,2023-03-03,,FedEx,OQ164106567BR,2023-07-18T00:00:00
1900,5501,entregue,2025-06-21T00:00:00,2025-06-28,2025-07-01,Total Express,FN607513062BR,2026-01-25T00:00:00
1901,809,em_transito,2024-04-22T00:00:00,2024-05-06,,JadLog,TM107253454BR,2025-07-17T00:00:00
1902,11770,devolvido,2023-06-14T00:00:00,2023-06-17,2023-06-27,Total Express,SU651413003BR,2026-02-16T00:00:00
1903,12883,em_transito,2023-12-13T00:00:00,2023-12-29,,Correios,IF011285739BR,2024-06-02T00:00:00
1904,4326,pendente,2023-01-05T00:00:00,2023-01-11,,Loggi,OP599260257BR,2023-09-19T00:00:00
1905,4964,em_transito,2024-05-24T00:00:00,2024-06-04,,Correios,EV234051494BR,2026-04-27T00:00:00
1906,1622,entregue,2026-05-18T00:00:00,2026-06-01,2026-06-04,Latam Cargo,EH887114333BR,2026-05-26T00:00:00
1907,8696,entregue,2025-11-02T00:00:00,2025-11-09,2025-11-07,DHL,LQ025107453BR,2025-11-04T00:00:00
1908,852,em_transito,2024-11-20T00:00:00,2024-12-08,,Total Express,ER434833996BR,2025-04-18T00:00:00
1909,9420,entregue,2023-10-11T00:00:00,2023-10-26,2023-10-30,DHL,BG227527135BR,2025-10-01T00:00:00
1910,3321,entregue,2024-12-23T00:00:00,2024-12-29,2025-01-01,Latam Cargo,FO108910434BR,2025-10-28T00:00:00
1911,6170,entregue,2026-05-26T00:00:00,2026-05-29,2026-06-03,Loggi,DW786134531BR,2026-06-03T00:00:00
1912,8770,entregue,2025-12-09T00:00:00,2025-12-27,2025-12-30,Total Express,BE644789105BR,2026-03-13T00:00:00
1913,2707,entregue,2023-11-30T00:00:00,2023-12-08,2023-12-11,FedEx,IQ678161487BR,2026-05-08T00:00:00
1914,1821,entregue,2026-02-09T00:00:00,2026-03-01,2026-02-28,DHL,SN759775140BR,2026-03-18T00:00:00
1915,14588,entregue,2025-01-07T00:00:00,2025-01-18,2025-01-18,Latam Cargo,FQ811768781BR,2026-03-17T00:00:00
1916,12825,em_transito,2026-01-29T00:00:00,2026-02-12,,Correios,VB521247208BR,2026-05-21T00:00:00
1917,6563,entregue,2023-06-30T00:00:00,2023-07-19,2023-07-18,FedEx,OK311599775BR,2023-12-19T00:00:00
1918,4628,entregue,2025-10-08T00:00:00,2025-10-21,2025-10-22,Azul Cargo,DE992617351BR,2025-12-22T00:00:00
1919,14759,entregue,2023-12-02T00:00:00,2023-12-13,2023-12-14,Loggi,OI750340116BR,2025-09-20T00:00:00
1920,5181,entregue,2023-03-23T00:00:00,2023-04-03,2023-04-01,JadLog,DS237612837BR,2026-06-05T00:00:00
1921,14560,entregue,2023-01-14T00:00:00,2023-01-25,2023-01-29,DHL,OI825266571BR,2025-05-03T00:00:00
1922,5976,entregue,2023-08-19T00:00:00,2023-08-23,2023-08-24,Loggi,YC327206879BR,2024-10-30T00:00:00
1923,13271,entregue,2025-01-22T00:00:00,2025-02-06,2025-02-09,JadLog,HH169684027BR,2025-11-24T00:00:00
1924,5928,devolvido,2026-06-06T00:00:00,2026-06-13,2026-06-23,DHL,CP008631008BR,2026-06-08T00:00:00
1925,5438,entregue,2023-02-05T00:00:00,2023-02-18,2023-02-17,Azul Cargo,PQ674709732BR,2025-01-17T00:00:00
1926,2023,entregue,2023-10-15T00:00:00,2023-10-25,2023-10-27,Azul Cargo,RU794624446BR,2025-07-03T00:00:00
1927,7494,entregue,2023-03-06T00:00:00,2023-03-21,2023-03-20,Loggi,GO215539417BR,2025-11-16T00:00:00
1928,12055,em_transito,2023-02-15T00:00:00,2023-02-23,,Azul Cargo,WY051747302BR,2023-08-08T00:00:00
1929,2812,em_transito,2024-03-02T00:00:00,2024-03-13,,Azul Cargo,WO004363183BR,2024-05-31T00:00:00
1930,9921,entregue,2024-05-23T00:00:00,2024-06-01,2024-06-01,Loggi,UX976827774BR,2026-02-08T00:00:00
1931,4209,entregue,2023-06-04T00:00:00,2023-06-08,2023-06-12,Azul Cargo,WL534570649BR,2025-01-09T00:00:00
1932,14448,entregue,2025-05-03T00:00:00,2025-05-13,2025-05-18,Azul Cargo,AL465968637BR,2026-01-11T00:00:00
1933,9067,entregue,2024-10-16T00:00:00,2024-10-25,2024-10-27,DHL,OG045864859BR,2025-05-31T00:00:00
1934,10186,entregue,2023-09-12T00:00:00,2023-09-23,2023-09-24,Correios,JR036809053BR,2025-05-26T00:00:00
1935,11803,entregue,2025-06-24T00:00:00,2025-07-09,2025-07-14,Latam Cargo,RO314595538BR,2025-08-15T00:00:00
1936,6206,entregue,2023-03-18T00:00:00,2023-04-01,2023-04-03,DHL,HB988946492BR,2026-05-04T00:00:00
1937,2176,entregue,2024-01-04T00:00:00,2024-01-11,2024-01-15,Latam Cargo,FH136742660BR,2024-06-11T00:00:00
1938,2472,entregue,2025-05-14T00:00:00,2025-05-26,2025-05-24,JadLog,WD644033806BR,2026-01-13T00:00:00
1939,9889,entregue,2024-10-07T00:00:00,2024-10-15,2024-10-18,JadLog,JF996374177BR,2025-07-17T00:00:00
1940,10299,entregue,2026-05-04T00:00:00,2026-05-24,2026-05-26,Correios,JT651860670BR,2026-05-31T00:00:00
1941,11992,entregue,2023-08-10T00:00:00,2023-08-25,2023-08-28,Correios,TH937397900BR,2025-04-05T00:00:00
1942,859,entregue,2026-06-08T00:00:00,2026-06-25,2026-06-27,FedEx,CE023110482BR,2026-06-11T00:00:00
1943,13815,entregue,2026-06-01T00:00:00,2026-06-04,2026-06-07,JadLog,EY593601201BR,2026-06-09T00:00:00
1944,7481,entregue,2024-12-31T00:00:00,2025-01-14,2025-01-16,Total Express,JA872180817BR,2025-04-05T00:00:00
1945,4628,entregue,2025-05-04T00:00:00,2025-05-16,2025-05-21,JadLog,UX037440128BR,2025-12-03T00:00:00
1946,11132,em_transito,2026-02-26T00:00:00,2026-03-09,,FedEx,GZ537342377BR,2026-06-11T00:00:00
1947,12999,entregue,2025-12-24T00:00:00,2026-01-11,2026-01-09,Azul Cargo,CI170606400BR,2026-01-13T00:00:00
1948,7014,entregue,2023-04-28T00:00:00,2023-05-02,2023-05-07,Azul Cargo,CR185800149BR,2024-03-23T00:00:00
1949,1919,entregue,2024-04-08T00:00:00,2024-04-23,2024-04-21,FedEx,MJ574554772BR,2025-03-24T00:00:00
1950,2833,entregue,2025-09-21T00:00:00,2025-09-25,2025-09-28,JadLog,JE224368564BR,2025-11-06T00:00:00
1951,13225,entregue,2024-02-22T00:00:00,2024-03-06,2024-03-09,FedEx,CA921213886BR,2025-09-27T00:00:00
1952,9095,entregue,2026-03-14T00:00:00,2026-03-26,2026-03-31,Latam Cargo,NR706342083BR,2026-05-06T00:00:00
1953,4553,em_transito,2024-07-09T00:00:00,2024-07-25,,Correios,HY363804377BR,2025-03-04T00:00:00
1954,715,entregue,2025-07-29T00:00:00,2025-08-12,2025-08-12,JadLog,KX940576799BR,2025-11-03T00:00:00
1955,7696,entregue,2026-02-13T00:00:00,2026-02-25,2026-03-02,DHL,AI422454569BR,2026-06-02T00:00:00
1956,13593,entregue,2023-08-01T00:00:00,2023-08-13,2023-08-15,FedEx,BU049581995BR,2025-06-08T00:00:00
1957,4307,entregue,2025-09-08T00:00:00,2025-09-26,2025-09-24,DHL,NJ256491714BR,2026-01-29T00:00:00
1958,3037,entregue,2024-08-26T00:00:00,2024-09-12,2024-09-13,JadLog,QN616919086BR,2026-04-22T00:00:00
1959,1859,entregue,2025-08-03T00:00:00,2025-08-22,2025-08-25,Total Express,BZ737040466BR,2026-03-30T00:00:00
1960,10048,entregue,2024-08-26T00:00:00,2024-09-12,2024-09-11,Azul Cargo,IM075407307BR,2025-10-07T00:00:00
1961,3895,entregue,2023-08-09T00:00:00,2023-08-23,2023-08-21,Loggi,PT981222323BR,2025-07-15T00:00:00
1962,8825,em_transito,2023-05-24T00:00:00,2023-06-01,,Latam Cargo,IL171759453BR,2025-05-27T00:00:00
1963,6598,entregue,2026-02-13T00:00:00,2026-02-23,2026-02-22,Total Express,NG494969357BR,2026-04-06T00:00:00
1964,2011,entregue,2026-04-08T00:00:00,2026-04-11,2026-04-15,Loggi,AT420598689BR,2026-05-01T00:00:00
1965,6903,devolvido,2025-04-28T00:00:00,2025-05-01,2025-05-09,Azul Cargo,UT435413938BR,2025-06-24T00:00:00
1966,14518,entregue,2024-06-22T00:00:00,2024-07-12,2024-07-14,Correios,IZ754720846BR,2024-09-27T00:00:00
1967,14195,entregue,2024-04-05T00:00:00,2024-04-23,2024-04-23,FedEx,NE313945865BR,2025-09-07T00:00:00
1968,297,entregue,2023-03-27T00:00:00,2023-03-30,2023-03-29,DHL,OC358893645BR,2025-12-06T00:00:00
1969,6349,entregue,2024-05-16T00:00:00,2024-06-04,2024-06-08,Correios,FB045392175BR,2025-10-06T00:00:00
1970,7628,em_transito,2025-06-01T00:00:00,2025-06-16,,Latam Cargo,LT803046356BR,2026-06-01T00:00:00
1971,10821,entregue,2025-11-24T00:00:00,2025-11-27,2025-11-25,FedEx,JV622126953BR,2026-01-17T00:00:00
1972,7989,entregue,2025-04-11T00:00:00,2025-04-29,2025-05-01,Latam Cargo,XR052230722BR,2026-03-12T00:00:00
1973,7040,entregue,2023-06-26T00:00:00,2023-07-10,2023-07-09,Latam Cargo,TB782118022BR,2025-09-19T00:00:00
1974,10720,em_transito,2025-02-04T00:00:00,2025-02-22,,Correios,TI947137277BR,2025-03-07T00:00:00
1975,13179,entregue,2023-12-30T00:00:00,2024-01-05,2024-01-09,JadLog,EF589460496BR,2024-07-09T00:00:00
1976,10034,em_transito,2026-05-03T00:00:00,2026-05-16,,FedEx,LY282611039BR,2026-05-05T00:00:00
1977,5285,entregue,2026-01-25T00:00:00,2026-01-28,2026-02-02,Azul Cargo,SK917942759BR,2026-04-19T00:00:00
1978,4348,entregue,2023-11-01T00:00:00,2023-11-19,2023-11-17,Total Express,NQ983376622BR,2024-11-03T00:00:00
1979,5602,devolvido,2024-04-20T00:00:00,2024-05-02,2024-05-16,Correios,PU396897211BR,2025-11-30T00:00:00
1980,14653,entregue,2025-06-04T00:00:00,2025-06-15,2025-06-20,Azul Cargo,HA209435150BR,2025-07-10T00:00:00
1981,11490,em_transito,2023-07-23T00:00:00,2023-07-31,,Latam Cargo,SY829182772BR,2023-12-12T00:00:00
1982,10168,entregue,2023-08-16T00:00:00,2023-09-02,2023-09-06,Correios,EC711567679BR,2025-09-08T00:00:00
1983,8374,entregue,2023-01-27T00:00:00,2023-02-12,2023-02-17,Loggi,JL190857895BR,2026-06-09T00:00:00
1984,7129,entregue,2025-06-25T00:00:00,2025-07-09,2025-07-07,Correios,DU419163738BR,2025-08-21T00:00:00
1985,10542,pendente,2026-03-28T00:00:00,2026-04-15,,Latam Cargo,DM250405537BR,2026-05-31T00:00:00
1986,4210,entregue,2024-11-22T00:00:00,2024-12-04,2024-12-05,Loggi,WM544185132BR,2025-12-11T00:00:00
1987,11840,entregue,2026-04-15T00:00:00,2026-04-28,2026-05-03,DHL,GU529927943BR,2026-06-10T00:00:00
1988,1621,entregue,2023-11-20T00:00:00,2023-12-09,2023-12-07,FedEx,MD541616709BR,2024-05-17T00:00:00
1989,3310,entregue,2025-07-07T00:00:00,2025-07-10,2025-07-12,Loggi,LP040978285BR,2026-03-10T00:00:00
1990,9122,entregue,2024-07-03T00:00:00,2024-07-22,2024-07-23,FedEx,OT143165131BR,2025-05-21T00:00:00
1991,10491,pendente,2025-08-05T00:00:00,2025-08-09,,DHL,HL557631218BR,2026-04-15T00:00:00
1992,1416,entregue,2023-02-01T00:00:00,2023-02-14,2023-02-19,FedEx,SO716956424BR,2025-04-25T00:00:00
1993,8277,entregue,2025-01-08T00:00:00,2025-01-14,2025-01-18,Latam Cargo,AX253329673BR,2026-02-25T00:00:00
1994,14505,em_transito,2025-02-02T00:00:00,2025-02-14,,FedEx,TZ819478694BR,2025-05-25T00:00:00
1995,8295,entregue,2023-10-09T00:00:00,2023-10-17,2023-10-18,Total Express,VQ664460940BR,2024-01-16T00:00:00
1996,5882,entregue,2023-12-08T00:00:00,2023-12-12,2023-12-14,DHL,TF257608033BR,2026-01-16T00:00:00
1997,2144,em_transito,2026-05-28T00:00:00,2026-06-10,,Loggi,YD150426204BR,2026-06-04T00:00:00
1998,3278,devolvido,2025-02-10T00:00:00,2025-02-27,2025-03-14,FedEx,WD438646529BR,2025-08-04T00:00:00
1999,14628,entregue,2026-01-10T00:00:00,2026-01-23,2026-01-23,FedEx,RY743749378BR,2026-01-20T00:00:00
2000,4402,entregue,2025-06-27T00:00:00,2025-07-15,2025-07-14,Loggi,FY301350643BR,2026-04-03T00:00:00
2001,5813,entregue,2023-10-21T00:00:00,2023-11-06,2023-11-06,DHL,UM537766854BR,2024-06-17T00:00:00
2002,3900,entregue,2026-02-16T00:00:00,2026-03-04,2026-03-07,Total Express,ZN707108354BR,2026-05-09T00:00:00
2003,14386,entregue,2023-08-02T00:00:00,2023-08-15,2023-08-13,Correios,KD298787603BR,2025-02-15T00:00:00
2004,109,entregue,2025-12-03T00:00:00,2025-12-10,2025-12-14,Latam Cargo,BD561778966BR,2026-01-01T00:00:00
2005,13711,em_transito,2025-01-29T00:00:00,2025-02-06,,JadLog,BH321004703BR,2026-03-29T00:00:00
2006,1090,entregue,2024-02-28T00:00:00,2024-03-03,2024-03-05,Correios,SD326921612BR,2024-12-09T00:00:00
2007,5660,entregue,2026-02-27T00:00:00,2026-03-19,2026-03-21,Correios,EG112189822BR,2026-04-01T00:00:00
2008,8419,entregue,2026-04-02T00:00:00,2026-04-11,2026-04-16,Azul Cargo,UM438873301BR,2026-04-16T00:00:00
2009,14630,entregue,2026-03-20T00:00:00,2026-04-08,2026-04-08,Correios,YV620983532BR,2026-05-19T00:00:00
2010,7703,entregue,2024-09-14T00:00:00,2024-10-01,2024-10-03,Azul Cargo,JU721656633BR,2025-10-26T00:00:00
2011,6737,em_transito,2026-04-06T00:00:00,2026-04-18,,JadLog,YW508394470BR,2026-05-23T00:00:00
2012,13242,entregue,2025-01-21T00:00:00,2025-02-02,2025-01-31,Loggi,ZV858913085BR,2026-01-08T00:00:00
2013,5471,entregue,2023-03-09T00:00:00,2023-03-28,2023-03-30,Azul Cargo,NT170534182BR,2026-06-05T00:00:00
2014,1563,em_transito,2023-07-28T00:00:00,2023-08-08,,DHL,PV991729666BR,2025-01-01T00:00:00
2015,4239,entregue,2024-08-20T00:00:00,2024-09-07,2024-09-07,Correios,FM373735082BR,2025-07-22T00:00:00
2016,2748,devolvido,2023-04-22T00:00:00,2023-05-08,2023-05-18,Loggi,HV701674000BR,2023-11-22T00:00:00
2017,6845,entregue,2024-10-14T00:00:00,2024-10-23,2024-10-23,Correios,IG215612051BR,2025-08-24T00:00:00
2018,3952,em_transito,2026-03-12T00:00:00,2026-03-24,,Azul Cargo,XJ241944818BR,2026-04-13T00:00:00
2019,8599,entregue,2024-07-25T00:00:00,2024-07-31,2024-08-02,Azul Cargo,IO434843041BR,2024-10-06T00:00:00
2020,4476,entregue,2024-04-24T00:00:00,2024-05-01,2024-04-29,FedEx,WG338847901BR,2025-02-05T00:00:00
2021,4344,em_transito,2023-08-17T00:00:00,2023-08-20,,DHL,JD110341399BR,2024-02-24T00:00:00
2022,435,entregue,2023-05-31T00:00:00,2023-06-09,2023-06-11,Total Express,MP475294403BR,2025-02-23T00:00:00
2023,7429,em_transito,2023-11-14T00:00:00,2023-11-19,,Latam Cargo,SN432474282BR,2024-01-19T00:00:00
2024,9424,em_transito,2024-03-12T00:00:00,2024-03-28,,DHL,UR063547535BR,2024-07-27T00:00:00
2025,2511,entregue,2026-04-16T00:00:00,2026-05-01,2026-05-06,JadLog,TI462577551BR,2026-06-10T00:00:00
2026,2860,entregue,2024-01-03T00:00:00,2024-01-11,2024-01-12,Total Express,GT379768131BR,2025-07-14T00:00:00
2027,11772,entregue,2023-03-24T00:00:00,2023-04-10,2023-04-12,Azul Cargo,RP764418685BR,2023-11-16T00:00:00
2028,10259,entregue,2023-04-22T00:00:00,2023-04-30,2023-05-02,Azul Cargo,HQ402763826BR,2025-01-09T00:00:00
2029,7115,entregue,2025-05-18T00:00:00,2025-05-23,2025-05-25,FedEx,MN323504991BR,2025-11-16T00:00:00
2030,14781,entregue,2024-01-22T00:00:00,2024-01-30,2024-01-29,Loggi,YG892137685BR,2025-08-05T00:00:00
2031,10435,entregue,2023-09-27T00:00:00,2023-10-14,2023-10-14,JadLog,UU686137449BR,2025-08-04T00:00:00
2032,3833,entregue,2025-12-16T00:00:00,2025-12-31,2026-01-01,Correios,TC008061508BR,2025-12-23T00:00:00
2033,8503,entregue,2023-09-21T00:00:00,2023-09-28,2023-10-03,JadLog,ZW119768668BR,2025-05-26T00:00:00
2034,4621,entregue,2024-04-20T00:00:00,2024-05-08,2024-05-13,DHL,NT943372262BR,2026-06-11T00:00:00
2035,14670,pendente,2025-07-11T00:00:00,2025-07-27,,DHL,VY252685017BR,2025-08-12T00:00:00
2036,4330,devolvido,2023-08-28T00:00:00,2023-08-31,2023-09-15,Azul Cargo,SX555464633BR,2026-04-20T00:00:00
2037,12914,entregue,2026-05-08T00:00:00,2026-05-18,2026-05-19,Azul Cargo,ER734144307BR,2026-05-29T00:00:00
2038,1906,em_transito,2025-02-28T00:00:00,2025-03-09,,Azul Cargo,TT514897760BR,2025-11-19T00:00:00
2039,12181,entregue,2023-11-01T00:00:00,2023-11-19,2023-11-20,FedEx,WQ707572603BR,2025-06-24T00:00:00
2040,9928,em_transito,2025-08-22T00:00:00,2025-09-08,,JadLog,RH539059739BR,2026-01-18T00:00:00
2041,11364,entregue,2024-04-21T00:00:00,2024-05-11,2024-05-09,JadLog,AK157037277BR,2025-05-29T00:00:00
2042,7828,devolvido,2023-12-05T00:00:00,2023-12-19,2023-12-24,Loggi,WP420524275BR,2025-03-26T00:00:00
2043,640,entregue,2025-08-26T00:00:00,2025-09-10,2025-09-10,Latam Cargo,KA643880817BR,2026-04-27T00:00:00
2044,4551,devolvido,2023-08-01T00:00:00,2023-08-13,2023-08-24,JadLog,UE014398426BR,2025-06-17T00:00:00
2045,13577,entregue,2024-01-18T00:00:00,2024-02-01,2024-02-03,Correios,TA866456179BR,2024-07-02T00:00:00
2046,2552,entregue,2025-11-10T00:00:00,2025-11-19,2025-11-19,Azul Cargo,FJ540945818BR,2026-01-03T00:00:00
2047,2295,pendente,2024-01-11T00:00:00,2024-01-18,,Azul Cargo,GL121157999BR,2024-02-25T00:00:00
2048,7600,devolvido,2024-02-15T00:00:00,2024-02-29,2024-03-09,Correios,FW157224032BR,2026-01-20T00:00:00
2049,6986,entregue,2024-07-22T00:00:00,2024-08-11,2024-08-14,Loggi,VK425908957BR,2024-10-18T00:00:00
2050,14305,entregue,2024-09-23T00:00:00,2024-10-07,2024-10-07,Total Express,PI810157736BR,2025-09-21T00:00:00
2051,997,entregue,2025-02-14T00:00:00,2025-03-04,2025-03-07,FedEx,VS244893983BR,2026-03-23T00:00:00
2052,20,em_transito,2023-04-13T00:00:00,2023-04-23,,Latam Cargo,IF887740949BR,2024-02-01T00:00:00
2053,11906,pendente,2025-09-14T00:00:00,2025-09-27,,Latam Cargo,ZF262832278BR,2026-02-21T00:00:00
2054,3241,entregue,2025-07-30T00:00:00,2025-08-05,2025-08-06,Correios,QK690647120BR,2025-12-17T00:00:00
2055,8454,pendente,2026-05-03T00:00:00,2026-05-10,,Latam Cargo,LJ158506383BR,2026-05-31T00:00:00
2056,6586,entregue,2023-09-29T00:00:00,2023-10-12,2023-10-12,Correios,LW048536831BR,2025-09-12T00:00:00
2057,5513,entregue,2023-03-21T00:00:00,2023-04-09,2023-04-09,Latam Cargo,LZ093362924BR,2025-01-23T00:00:00
2058,9533,em_transito,2024-06-15T00:00:00,2024-07-02,,Latam Cargo,AJ559577217BR,2026-04-24T00:00:00
2059,2611,em_transito,2025-05-29T00:00:00,2025-06-01,,Azul Cargo,AI508558397BR,2025-09-20T00:00:00
2060,4507,em_transito,2024-03-11T00:00:00,2024-03-31,,Total Express,YU137588891BR,2025-08-21T00:00:00
2061,8104,em_transito,2024-02-20T00:00:00,2024-02-25,,DHL,TO798886522BR,2025-12-25T00:00:00
2062,8319,entregue,2024-05-29T00:00:00,2024-06-12,2024-06-13,Correios,EI242551591BR,2025-03-05T00:00:00
2063,5725,pendente,2026-02-26T00:00:00,2026-03-13,,Azul Cargo,SP962935459BR,2026-05-31T00:00:00
2064,8749,entregue,2023-03-19T00:00:00,2023-03-23,2023-03-28,JadLog,EH970120934BR,2024-05-05T00:00:00
2065,13851,pendente,2025-03-28T00:00:00,2025-04-03,,FedEx,VQ953223538BR,2026-02-28T00:00:00
2066,3953,devolvido,2024-11-15T00:00:00,2024-12-04,2024-12-15,JadLog,DR269574976BR,2025-06-04T00:00:00
2067,13971,devolvido,2024-06-12T00:00:00,2024-06-25,2024-07-03,FedEx,PL539198543BR,2025-01-16T00:00:00
2068,9203,entregue,2023-07-30T00:00:00,2023-08-17,2023-08-15,Azul Cargo,KY053398124BR,2024-09-15T00:00:00
2069,11212,entregue,2026-02-19T00:00:00,2026-03-05,2026-03-10,Loggi,FQ861813046BR,2026-05-06T00:00:00
2070,4746,entregue,2024-07-26T00:00:00,2024-08-13,2024-08-16,JadLog,NG953371345BR,2025-06-12T00:00:00
