id_fornecedor,nome_fornecedor,cnpj,email,telefone,logradouro,cidade,estado,cep,updated_at
629,Melo,32.906.457/0001-56,fernandesana-vitoria@freitas.com.br,+55 31 1006-0221,"Campo Santos, 9",Andrade,BA,45052904,2024-11-04T00:00:00
630,Cunha,80.371.249/0001-42,joaquim10@cavalcante.com,+55 (084) 6559-9864,"Área de Souza, 25",Marques,PI,64497-415,2023-02-24T00:00:00
631,Jesus Oliveira e Filhos,05.124.639/0001-00,fariasmariana@da.com,+55 (041) 8307-4465,Condomínio Fernanda Pires,Alves,RS,73982-194,2024-05-13T00:00:00
632,Pires e Filhos,94.037.521/0001-67,mlopes@da.com.br,+55 61 9549 3300,"Pátio Farias, 6",Gomes,PR,58966-983,2025-07-25T00:00:00
633,Barros Macedo e Filhos,46.702.159/0001-59,gdas-neves@viana.edu.br,+55 (071) 6734 3811,"Rodovia Isaque Cardoso, 83",da Cunha de Jesus,AC,87314-447,2025-05-05T00:00:00
634,Lima e Filhos,32.947.581/0001-60,ksouza@andrade.net,(084) 7391 4604,Travessa Freitas,Araújo das Pedras,MA,80006-949,2023-06-21T00:00:00
635,Pastor Silva S.A.,28.305.764/0001-04,marcos-viniciussilva@duarte.net,+55 (071) 9238 6795,"Rodovia Ferreira, 8",Mendonça Grande,MG,94732347,2025-07-30T00:00:00
636,Fonseca,80.276.913/0001-74,teixeiranina@goncalves.com,0500 364 8187,"Morro Rodrigo Barros, 506",Câmara da Praia,AP,80007108,2025-12-08T00:00:00
637,Correia,31.258.409/0001-36,rochadavi-lucas@brito.com,71 8940 1450,"Conjunto Barbosa, 6",da Mata,MA,41574-648,2025-11-27T00:00:00
638,Pastor,93.501.672/0001-61,renan54@silveira.com,(084) 3623-5186,"Loteamento Mendes, 10",Lopes,RR,61234-112,2024-03-20T00:00:00
639,Siqueira,58.960.123/0001-54,ksilva@guerra.com,+55 11 2229 2025,"Praia Rafael Martins, 33",Aparecida,ES,80459-846,2024-11-19T00:00:00
640,Alves,07.652.813/0001-05,yasmin19@camara.edu.br,+55 (061) 8135 9985,"Via Farias, 32",Moraes de Novais,AM,69522-589,2025-07-24T00:00:00
641,Mendes Castro - ME,62.139.854/0001-00,vitor32@nascimento.gov.br,11 1193 9462,"Esplanada de Barros, 385",Monteiro do Norte,RO,66401-848,2024-09-17T00:00:00
642,Ribeiro,08.256.974/0001-42,hmarques@nogueira.com,(011) 6824 3927,"Praia Silva, 8",Novais,MA,03518646,2024-12-08T00:00:00
643,Nogueira S/A,42.750.691/0001-90,ana-carolinadias@lima.com.br,+55 (031) 8334 2580,"Pátio Duarte, 374",da Mata,GO,73429738,2025-03-08T00:00:00
644,Mendes,70.924.816/0001-97,aurora62@camargo.com,11 3838 0841,"Residencial de Camargo, 8",Rocha da Prata,PI,06425-149,2025-05-04T00:00:00
645,Gomes Nascimento - ME,08.965.324/0001-76,vinicius59@garcia.com.br,(041) 0957 1809,"Travessa Costa, 69",Gomes,TO,32265-376,2025-07-22T00:00:00
646,Correia Ramos e Filhos,14.950.728/0001-99,oliver30@pinto.com,0300-762-6248,"Distrito Benício Fonseca, 743",Moura,SE,55724-220,2026-01-14T00:00:00
647,da Rosa e Filhos,68.371.509/0001-84,xsampaio@aragao.com.br,11 5623 4033,"Avenida de Martins, 52",Vargas,SE,57506819,2025-01-16T00:00:00
648,Dias,01.728.963/0001-79,marianecosta@novaes.com.br,+55 (021) 6608-7454,"Residencial de Mendes, 17",Almeida Alegre,MT,09852993,2023-05-01T00:00:00
649,Borges,39.246.078/0001-26,fernandesjoao-gabriel@pinto.com.br,(011) 5051 1484,"Estrada Ribeiro, 44",Sá do Galho,AP,37953-378,2023-05-17T00:00:00
650,Costa Pimenta e Filhos,29.654.078/0001-01,qporto@aragao.com,+55 71 5946-4584,"Rodovia de Aragão, 949",Sampaio Grande,MG,65469-802,2025-10-19T00:00:00
651,da Costa Dias S.A.,59.120.768/0001-41,nascimentojoao-miguel@abreu.com.br,+55 51 4141 4892,"Estação de Farias, 7",da Cruz,RN,63501605,2026-06-09T00:00:00
652,Guerra S.A.,18.265.479/0001-53,luan88@cavalcante.br,71 3980 0631,"Estrada Fernanda da Paz, 9",Casa Grande de Fonseca,CE,74762278,2024-10-11T00:00:00
653,Novaes,03.596.214/0001-60,da-matahenry-gabriel@sa.gov.br,+55 (084) 5732 4284,"Fazenda de Mendonça, 393",Souza do Oeste,SP,37884832,2025-11-16T00:00:00
654,Farias - EI,71.635.482/0001-02,castroasafe@carvalho.com,81 8292 3344,"Favela Maria Luísa Carvalho, 161",Pereira,PA,30037-921,2025-01-28T00:00:00
655,Pacheco,18.473.295/0001-89,andradegustavo@nogueira.gov.br,(051) 0067 8335,"Loteamento Camargo, 83",da Mota,GO,37805822,2024-09-03T00:00:00
656,Nogueira,03.462.857/0001-11,da-luzana-clara@garcia.br,84 1029-6862,"Largo Novaes, 93",Duarte,RO,71433849,2025-06-12T00:00:00
657,Aparecida Ltda.,96.315.402/0001-54,maria-luisacavalcante@monteiro.edu.br,+55 84 0081 1713,"Morro Dante da Cruz, 34",Cavalcante,SP,51232-929,2025-08-07T00:00:00
658,Sousa,08.759.346/0001-80,valentinavargas@novais.com,0900 860 7195,"Alameda Alícia Casa Grande, 11",da Cunha de Cardoso,RN,67988420,2025-03-11T00:00:00
659,Peixoto S/A,65.403.128/0001-41,qpeixoto@santos.com,(031) 5694 8842,"Viaduto de Ferreira, 3",Garcia,AL,25824723,2024-02-06T00:00:00
660,Castro Pacheco - EI,17.935.604/0001-22,marquesfernanda@cardoso.br,(084) 5927-6642,"Setor de Araújo, 958",Ramos,PA,39731763,2023-03-06T00:00:00
661,Silveira Pastor - ME,04.581.732/0001-73,milenamoreira@freitas.org,+55 11 5669-9866,Estrada de Pinto,Rodrigues dos Dourados,RJ,76478-333,2023-04-23T00:00:00
662,Cavalcanti Fonseca S/A,65.023.897/0001-14,luiz-felipedas-neves@novais.com,+55 (011) 9075-9091,"Colônia Araújo, 716",Costa de Minas,PE,83789-769,2024-07-29T00:00:00
663,Castro Monteiro S/A,08.721.546/0001-43,qmachado@almeida.br,61 4235-0974,"Viela de Cavalcante, 9",Araújo de Moura,RJ,34880264,2023-05-06T00:00:00
664,Alves Ltda.,74.501.362/0001-00,almeidanicolas@rezende.com,+55 41 6763 5850,Praia de Carvalho,Rodrigues,SE,47487080,2025-12-06T00:00:00
665,Guerra Pastor S.A.,35.489.620/0001-10,rochaisabelly@albuquerque.com.br,+55 (031) 9734-7141,"Conjunto Sá, 334",da Cruz de da Luz,SC,76204-890,2023-12-15T00:00:00
666,Lopes,82.603.495/0001-08,maria-julia06@goncalves.gov.br,0800 211 0225,Favela de Câmara,Moura,PE,25538-826,2023-08-13T00:00:00
667,Sales,31.864.597/0001-46,eteixeira@fonseca.com.br,+55 (031) 1970-2727,"Condomínio Silva, 813",Azevedo de Sousa,BA,18254-531,2024-04-18T00:00:00
668,Aparecida,56.028.713/0001-18,gvasconcelos@aragao.com.br,+55 81 5431 9998,"Vale de Barros, 53",Moraes da Prata,PB,59655-324,2023-02-02T00:00:00
669,da Luz S.A.,41.267.538/0001-44,maria-clara26@camargo.com.br,+55 (084) 5748 3742,"Ladeira de Cunha, 10",Vargas do Oeste,AC,64295-517,2023-08-25T00:00:00
670,Mendes,71.896.430/0001-81,raul81@da.net,+55 61 6192 5075,"Alameda Moraes, 383",Vasconcelos,MS,90940619,2023-09-21T00:00:00
671,Castro Novaes - ME,05.613.478/0001-00,caue23@novaes.com,+55 21 4917-2011,"Vereda João Pedro da Mata, 84",Dias,CE,62293091,2025-12-13T00:00:00
672,da Costa,97.032.865/0001-71,murilo69@cirino.edu.br,(071) 3351 7986,"Núcleo Ribeiro, 17",Azevedo Verde,DF,05731712,2026-03-23T00:00:00
673,Almeida Peixoto - ME,53.624.981/0001-04,juliaalbuquerque@da.br,0900 286 5217,"Rua Nascimento, 1",Vargas,TO,14912032,2023-04-13T00:00:00
674,Alves Farias - EI,90.246.875/0001-60,pabreu@aparecida.gov.br,+55 41 2110-7608,Passarela de da Mota,Pinto,GO,17973-228,2025-12-06T00:00:00
675,Aparecida,73.018.295/0001-05,luana11@aragao.br,+55 (041) 5657 5554,"Colônia Otávio Nascimento, 60",Sampaio de Correia,GO,12303556,2025-06-18T00:00:00
676,Silva Guerra Ltda.,34.782.619/0001-17,nascimentoemilly@sales.br,+55 11 5833 7559,"Morro de Moura, 93",Cunha de Minas,MG,54227731,2023-01-27T00:00:00
677,Andrade Santos e Filhos,13.928.075/0001-89,ralbuquerque@macedo.gov.br,+55 (061) 9921 5940,"Trecho Moreira, 7",Mendonça da Praia,PB,61784-205,2023-08-11T00:00:00
678,Caldeira,23.187.954/0001-50,jmacedo@moreira.gov.br,41 9510-3936,"Rua Aparecida, 146",Lima dos Dourados,BA,70816569,2025-11-21T00:00:00
679,das Neves Barros - EI,74.065.921/0001-79,pastorjose-miguel@vargas.com.br,61 3761 1838,"Ladeira Mathias da Costa, 84",Caldeira do Campo,MS,97197330,2025-06-03T00:00:00
680,da Mata Pastor e Filhos,15.247.306/0001-14,camargobrenda@dias.org,84 1310 2102,"Fazenda Theodoro Fonseca, 8",Camargo,CE,68748434,2025-11-01T00:00:00
681,Novais,53.092.186/0001-12,azevedolarissa@casa.br,+55 (011) 2079-3882,"Loteamento Ana Júlia Gomes, 27",Leão,SP,09794-822,2023-08-09T00:00:00
682,Pimenta e Filhos,81.427.503/0001-40,mourafrancisco@pacheco.com,41 0775 1129,"Ladeira Montenegro, 84",Pacheco,MS,58317865,2025-01-07T00:00:00
683,Pastor,85.903.274/0001-43,piresbianca@cunha.org,(011) 5052-5897,"Colônia Cavalcanti, 75",Fernandes de Ferreira,RR,96356-972,2025-11-29T00:00:00
684,Pinto,95.304.816/0001-15,ana-julialeao@pereira.gov.br,+55 (071) 9725-1982,"Rua Machado, 608",Monteiro de Goiás,SP,49644-424,2024-09-10T00:00:00
685,Azevedo - ME,17.528.364/0001-41,xdias@cardoso.br,+55 (061) 0780 3143,"Colônia de Pereira, 2",Mendonça,PB,03430-874,2025-01-20T00:00:00
686,Caldeira Ltda.,89.624.173/0001-94,brayan73@teixeira.com,(021) 2150-8355,"Vale de Ribeiro, 60",Rios,MA,81362267,2026-03-15T00:00:00
687,Santos Silveira e Filhos,12.390.785/0001-35,joao-pedro90@alves.br,(084) 5530 1622,"Trecho Isis Silva, 1",Machado,TO,95037884,2025-09-25T00:00:00
688,Andrade,47.853.619/0001-02,yasminmartins@nunes.org,71 8993-9138,Vereda Costa,Costela,PA,82233449,2024-04-09T00:00:00
689,Barbosa,38.054.716/0001-44,otaviopacheco@guerra.com,+55 41 0371 2772,Colônia da Mata,da Rocha Paulista,SE,58954-757,2025-10-18T00:00:00
690,da Rosa S/A,45.736.920/0001-00,sadom@da.br,0900 706 2236,Trevo Fernando Aragão,Nascimento,MA,53355314,2025-05-07T00:00:00
691,Fogaça,48.369.572/0001-79,casa-grandeantony@cirino.br,(084) 9054-3506,"Viaduto Henrique Sousa, 14",Moraes do Norte,AP,47748198,2023-07-08T00:00:00
692,Aparecida Leão - EI,41.896.523/0001-45,aylabarbosa@goncalves.com,+55 41 2533-7075,"Colônia de Cirino, 37",Rocha,CE,34064057,2023-02-18T00:00:00
693,Martins e Filhos,65.378.940/0001-64,diasisis@da.edu.br,0900-529-5630,"Trevo Dante Ribeiro, 84",Duarte de Goiás,AP,37713237,2025-12-24T00:00:00
694,Fonseca,01.892.356/0001-40,lizleao@andrade.org,(061) 2051 0169,"Residencial Ana Vitória Gonçalves, 327",Castro,PA,13742207,2025-01-03T00:00:00
695,Correia Andrade Ltda.,79.253.408/0001-25,aparecidamaria-julia@cunha.gov.br,84 8324 8862,"Núcleo de Novais, 89",Silveira das Flores,AL,47272-268,2025-01-25T00:00:00
696,Melo - ME,27.351.649/0001-03,julia33@da.br,71 9669-1731,"Esplanada Luiz Otávio da Mota, 501",Almeida de Rezende,DF,75406858,2023-09-03T00:00:00
697,Sousa - EI,02.153.986/0001-65,isaac15@aparecida.br,+55 (071) 2188-8220,"Rodovia Fonseca, 7",Pinto,CE,87715-515,2025-04-05T00:00:00
698,Abreu,37.965.204/0001-77,umarques@cavalcanti.br,0800-402-6608,"Morro de Rios, 49",Melo da Praia,RS,27881-266,2025-05-14T00:00:00
699,Mendonça,82.149.563/0001-00,caldeirajoaquim@viana.gov.br,0300 637 5050,"Área Davi Lucca Macedo, 147",Barbosa da Mata,GO,80789-392,2023-08-17T00:00:00
700,Câmara,19.402.756/0001-95,wmartins@abreu.net,0800 091 4280,Favela Carolina Oliveira,Albuquerque Alegre,GO,20192-413,2023-10-19T00:00:00
701,Rios Peixoto S/A,52.047.698/0001-02,davi-lucca67@ramos.br,+55 61 9955-2491,"Morro Souza, 322",Duarte de Garcia,AM,23392912,2024-12-07T00:00:00
702,Campos,49.127.653/0001-25,taragao@macedo.edu.br,84 2019 2164,Largo de Melo,Castro,RO,66550-634,2024-05-08T00:00:00
703,Pacheco S/A,47.836.105/0001-49,luiz-henrique30@silva.gov.br,84 6052-7416,"Rua Maria Clara Moura, 8",da Cunha,RO,01673-451,2024-09-13T00:00:00
704,Macedo,51.074.283/0001-57,lauranascimento@barbosa.br,+55 71 5375 6125,"Estrada Azevedo, 62",Abreu,SE,69930-807,2026-06-02T00:00:00
705,Costela,72.461.095/0001-51,igomes@alves.com.br,+55 21 9675-1306,"Condomínio Ana Luiza Oliveira, 211",Costa de Martins,PI,81813-555,2024-03-10T00:00:00
706,Peixoto,83.021.794/0001-05,siqueiralara@novaes.br,51 8903 7930,"Praia Ian Fonseca, 63",Sales,PE,96918882,2024-03-04T00:00:00
707,Melo,67.309.154/0001-30,nunescalebe@pereira.gov.br,+55 41 0024 1750,"Ladeira de Sampaio, 107",Moura,RS,87252364,2025-03-25T00:00:00
708,Machado,97.015.438/0001-85,antoniocarvalho@casa.com.br,+55 61 9760 5075,"Setor Sabrina Rocha, 9",Rocha de Minas,RR,07477-111,2025-10-19T00:00:00
709,Vasconcelos Ltda.,96.324.517/0001-05,maria-juliapimenta@jesus.br,+55 61 6817-5987,"Largo Yan Montenegro, 7",Duarte,PR,27898-601,2025-11-19T00:00:00
710,Vasconcelos,24.895.630/0001-30,bsousa@almeida.com.br,21 4771-1530,"Passarela Borges, 27",Pinto de Nascimento,PA,65254-535,2025-05-06T00:00:00
711,Ramos Farias - EI,51.803.647/0001-92,ana00@abreu.net,0300 545 5815,"Ladeira de Lopes, 32",Gonçalves,CE,97611-568,2023-04-16T00:00:00
712,Fonseca,06.518.724/0001-08,arthur64@rezende.br,+55 81 5330 4570,"Recanto Casa Grande, 70",Nogueira,AM,48864348,2025-08-08T00:00:00
713,Azevedo,21.983.746/0001-32,yago14@leao.br,+55 61 2797 5175,Via Brito,Leão,DF,83801-568,2023-04-17T00:00:00
714,da Rocha,34.618.095/0001-23,epires@pereira.br,+55 84 9127-5028,Morro de Guerra,Peixoto,DF,40254347,2024-04-25T00:00:00
715,Machado da Mata S/A,74.026.381/0001-14,costaisabella@sousa.com,(061) 4728 8372,"Estação de Cardoso, 521",Sampaio,MG,30170297,2026-04-07T00:00:00
716,Lima,87.149.032/0001-31,costelaleo@nogueira.com,(021) 9720-0005,"Esplanada Farias, 71",da Mota,RR,65710-348,2024-05-10T00:00:00
717,Teixeira - ME,02.435.918/0001-99,joaquim45@duarte.org,81 3414-9947,"Avenida de Moraes, 68",Nunes da Praia,RJ,94969463,2023-12-08T00:00:00
718,Ferreira,58.207.461/0001-10,duartehelena@nascimento.com,0900 845 1671,"Trevo da Rocha, 85",Pastor Paulista,CE,42051-350,2025-11-05T00:00:00
719,Caldeira,29.638.075/0001-84,fernandesvitor@machado.com.br,+55 (041) 0515-4727,"Área Amanda Marques, 196",Barros do Norte,MG,17195-455,2024-05-18T00:00:00
720,Lima - ME,40.165.897/0001-28,nathan29@pastor.br,+55 41 6230 5985,"Vale Manuella Carvalho, 12",Vasconcelos,RJ,03035-394,2023-06-17T00:00:00
721,Oliveira e Filhos,21.745.309/0001-80,jda-mata@pires.br,+55 81 4386 0836,Favela Otávio Silveira,Correia,MA,41116591,2024-03-16T00:00:00
722,Lima Rios e Filhos,63.107.528/0001-84,camaraotavio@camara.com.br,(061) 0341 2926,"Vereda Aparecida, 1",Câmara da Prata,RO,51955-172,2023-01-06T00:00:00
723,Ferreira Jesus - EI,34.729.806/0001-37,diasmaria-julia@rodrigues.edu.br,+55 (021) 3627-4838,"Largo de Casa Grande, 95",Farias,AM,86547-580,2024-04-05T00:00:00
724,Fogaça S.A.,90.532.687/0001-07,maiteabreu@da.br,41 5769-8292,"Jardim Juan Machado, 71",Novaes,RS,42252-262,2024-09-18T00:00:00
725,Cardoso - ME,49.305.761/0001-40,sampaiomaria-julia@da.gov.br,(071) 6175-9389,"Favela Antonella Fernandes, 69",Rodrigues do Campo,BA,54295-941,2025-10-20T00:00:00
726,Abreu - EI,08.672.351/0001-50,ypacheco@almeida.com.br,+55 61 7073-5216,"Estação Isadora da Mata, 91",Machado,SC,61562-509,2024-11-25T00:00:00
727,Rodrigues,84.031.692/0001-25,luiz-fernandoazevedo@fogaca.edu.br,0500 642 9281,"Esplanada de da Mata, 497",Caldeira,TO,83523-447,2024-01-15T00:00:00
728,Santos - EI,65.910.374/0001-90,jesusallana@monteiro.org,(051) 0428 2966,"Condomínio Farias, 11",Albuquerque,BA,51751-015,2025-06-10T00:00:00
729,Pimenta S/A,01.426.953/0001-89,marianepires@peixoto.br,+55 (071) 7861 5368,"Fazenda de Oliveira, 84",Albuquerque de Alves,RJ,00510-474,2023-03-26T00:00:00
730,Pimenta da Mata S/A,06.419.837/0001-56,araujodiogo@nascimento.br,31 6856-8703,"Estação de Vieira, 11",Gonçalves,MT,32410729,2023-03-03T00:00:00
731,Nascimento S/A,80.695.374/0001-08,davi-lucasfernandes@teixeira.gov.br,+55 84 4425 3989,"Trecho Vinicius Ribeiro, 11",Cunha,RS,67013-396,2026-05-01T00:00:00
732,Lopes,80.576.921/0001-36,aylla69@da.com.br,0800 517 8042,"Vale Letícia Silveira, 83",Aparecida,MS,29979736,2025-09-29T00:00:00
733,Souza Santos - ME,08.475.361/0001-04,julianacavalcante@campos.com.br,(084) 8221-7545,"Loteamento Barbosa, 97",Pacheco da Mata,PR,27777141,2024-01-01T00:00:00
734,Correia Ltda.,06.785.391/0001-83,nascimentovitor@camargo.com,(071) 0447-3649,"Morro Casa Grande, 535",Camargo de Mendes,PA,94583-142,2023-06-08T00:00:00
735,Vargas,51.340.278/0001-49,rafaelaraujo@da.com,0900-173-4512,Jardim de Correia,Vieira da Praia,AC,88837-052,2025-01-22T00:00:00
736,Albuquerque S.A.,12.354.879/0001-59,luiz-otaviosilva@pires.br,(021) 3602-6812,"Lago de da Mota, 14",Abreu de Mendes,SP,03887028,2023-08-27T00:00:00
737,Teixeira Lopes - ME,17.048.362/0001-55,beniciofreitas@jesus.gov.br,+55 21 4298-1496,"Trevo de Peixoto, 1",Gomes de Novais,AP,72032-286,2026-04-24T00:00:00
738,Silveira S/A,17.924.368/0001-49,cunhahenry-gabriel@camargo.org,+55 (071) 8575 5533,"Feira Liz Rocha, 47",Lima da Prata,PE,21149-586,2024-06-12T00:00:00
739,da Mota,18.750.493/0001-42,casa-grandelucas@farias.gov.br,+55 81 0776 6845,"Feira de da Luz, 2",Azevedo,AM,52815358,2026-02-14T00:00:00
740,Costa,83.915.764/0001-34,eloahcardoso@moreira.com,0500 632 3302,"Sítio Pinto, 72",Câmara do Oeste,DF,00232320,2024-08-11T00:00:00
741,Farias Castro S.A.,43.790.516/0001-90,fernandaazevedo@barbosa.com,11 3304-9895,"Pátio Maria Júlia Nascimento, 82",Rodrigues,MA,15667-313,2024-03-11T00:00:00
742,da Mota,45.637.219/0001-34,lizsousa@da.com.br,0300-323-9912,"Campo Silva, 570",Santos do Amparo,AC,94049329,2023-04-18T00:00:00
743,Aragão,86.902.431/0001-69,lorenaandrade@brito.com,0500-751-3289,"Feira de Casa Grande, 5",Fogaça de Goiás,CE,53717-857,2024-04-04T00:00:00
744,Vasconcelos Ltda.,95.146.078/0001-25,maria-isis80@moura.com,(061) 8477-6896,"Sítio Matheus Lopes, 7",Fonseca,SC,72173421,2024-03-25T00:00:00
745,Guerra S.A.,90.374.621/0001-28,camposclarice@fogaca.gov.br,61 7874-9030,"Colônia de Marques, 356",das Neves,MA,44406280,2026-02-05T00:00:00
746,Carvalho Cavalcanti S/A,45.921.083/0001-90,enzoazevedo@lopes.br,0500-210-5818,"Feira Manuela Guerra, 71",Moura,TO,50445-449,2025-04-19T00:00:00
747,Rodrigues,78.495.310/0001-11,carvalhooliver@pinto.net,(051) 8632-7281,"Sítio Matteo Fernandes, 95",Moura,PE,28457922,2024-05-23T00:00:00
748,Duarte,65.290.348/0001-06,isadora74@carvalho.br,71 6922-6585,"Ladeira Ayla Cirino, 57",da Cunha das Flores,MT,89733-035,2025-05-22T00:00:00
749,Nascimento,52.638.197/0001-92,cavalcantedom@pimenta.gov.br,(051) 5676-2823,"Praia Rezende, 367",Dias,BA,93268-322,2025-04-14T00:00:00
750,Freitas Carvalho S/A,68.750.491/0001-21,ecarvalho@gomes.edu.br,(041) 7174 1091,"Estação de Ribeiro, 42",Pires do Sul,MA,73817-572,2024-01-06T00:00:00
751,das Neves S.A.,59.467.813/0001-39,nathanvieira@pacheco.com.br,(011) 9268 0904,"Lago de Vargas, 975",Campos de Casa Grande,RO,87190-615,2023-08-16T00:00:00
752,Nunes e Filhos,59.678.320/0001-48,fariasjuliana@viana.com,81 0358-4241,"Parque Thomas Gonçalves, 447",Garcia da Mata,TO,12757-907,2023-06-22T00:00:00
753,Freitas S/A,53.901.274/0001-18,emanuella17@pires.com.br,84 9124 5628,"Condomínio Mendes, 34",Vieira,RN,91713372,2026-02-01T00:00:00
754,Dias e Filhos,23.057.864/0001-45,britoolivia@oliveira.br,(011) 1714-1874,"Rodovia Ana Sophia Mendonça, 3",da Mota da Serra,AL,33278508,2024-12-29T00:00:00
755,Guerra,85.409.612/0001-95,zcardoso@da.com.br,0800 936 0369,"Lago de Mendes, 200",Novaes,RR,27918-593,2023-07-09T00:00:00
756,Freitas - ME,68.945.210/0001-96,pedroda-cunha@oliveira.org,+55 (051) 6939-0973,"Distrito Marcelo Cardoso, 99",da Conceição,MG,32475232,2023-08-24T00:00:00
757,Oliveira,94.385.120/0001-06,davifarias@marques.br,+55 61 2373-5809,"Vale Gomes, 3",Pires de Oliveira,MA,66476-883,2025-02-09T00:00:00
758,Ramos Rocha S/A,41.273.905/0001-12,mendesluiz-otavio@duarte.br,71 4880 7239,"Jardim de Ferreira, 65",Novais de Rocha,AC,95098320,2023-06-04T00:00:00
759,da Conceição - ME,29.537.684/0001-47,ana-laurada-paz@cassiano.org,(031) 1490-3576,"Aeroporto Letícia Ferreira, 72",Machado,PI,50224-415,2025-12-21T00:00:00
760,Sá da Mata Ltda.,19.402.638/0001-87,ana-liviamonteiro@macedo.com.br,(051) 1425 7074,"Aeroporto Cavalcante, 43",Siqueira do Amparo,RN,72477656,2025-08-26T00:00:00
761,Monteiro S.A.,14.205.639/0001-18,lorena63@viana.edu.br,0900 566 9196,"Praia Nicolas Pires, 59",Carvalho,MG,26908-022,2024-06-03T00:00:00
762,Novais Costa - ME,54.937.280/0001-98,cirinovinicius@vieira.edu.br,+55 (071) 3950 3630,"Praça Thales Costela, 51",Novais do Sul,BA,51376-392,2025-12-06T00:00:00
763,Rezende,26.591.843/0001-01,wgoncalves@das.com.br,+55 (071) 0229-3517,"Rua de Lima, 71",Moura,RS,75682619,2023-11-20T00:00:00
764,Castro Costa - ME,98.572.461/0001-33,kvargas@costa.org,+55 (071) 3718-2386,"Viaduto de Rezende, 8",Castro do Galho,BA,07924-169,2023-12-14T00:00:00
765,Albuquerque Campos Ltda.,17.056.348/0001-01,luiz-gustavo85@costela.com.br,+55 (031) 0676-8883,"Campo Arthur Miguel Pires, 862",Fogaça,TO,17076151,2024-03-28T00:00:00
766,Pacheco Câmara S/A,91.678.425/0001-00,castrosofia@almeida.com,+55 (021) 0812-0268,"Loteamento de da Mata, 6",Lopes da Mata,PB,20206328,2025-08-11T00:00:00
767,Nunes,92.047.568/0001-86,alice32@goncalves.com,(031) 3570 8898,"Residencial Barbosa, 18",Montenegro do Norte,SC,03186194,2024-08-10T00:00:00
768,Fogaça,24.697.051/0001-82,sophiaaragao@goncalves.com,(021) 7877 5150,"Vila de Campos, 40",Fogaça do Galho,SC,09393-765,2025-02-23T00:00:00
769,Duarte Barros Ltda.,62.897.430/0001-05,dviana@cassiano.org,0300-176-4723,"Rua Theodoro Nunes, 9",Guerra do Amparo,AL,36989120,2025-02-16T00:00:00
770,Casa Grande,34.951.726/0001-21,bpacheco@da.org,(084) 2813 4753,"Distrito de Peixoto, 55",Novais,AM,42957-722,2025-08-20T00:00:00
771,Abreu,82.760.153/0001-00,sabrinarodrigues@rocha.gov.br,+55 21 8493-8588,"Núcleo de da Cunha, 29",Câmara,AP,15092007,2025-03-16T00:00:00
772,Macedo S.A.,34.607.581/0001-46,hmoura@garcia.com.br,+55 61 5933 1064,"Residencial Calebe Aragão, 39",Souza,PI,75891893,2023-09-09T00:00:00
773,Almeida S.A.,67.892.301/0001-48,ymendes@santos.org,71 6006-0812,"Alameda de Ribeiro, 1",Monteiro da Mata,RR,45129638,2025-12-11T00:00:00
774,Pires Martins - ME,24.986.107/0001-19,enzovargas@da.br,+55 (031) 9901 8956,"Parque de da Conceição, 5",Lopes de Martins,RR,80820523,2023-04-04T00:00:00
775,Nascimento Araújo Ltda.,08.917.526/0001-42,pietro65@sa.edu.br,+55 (061) 7770-9466,"Parque Moraes, 25",Marques,TO,63049-164,2024-04-14T00:00:00
776,Gomes,39.784.206/0001-95,dcastro@carvalho.com,21 5362-3617,"Núcleo Levi Montenegro, 80",Correia,ES,87511-554,2024-05-08T00:00:00
777,Araújo,60.417.589/0001-50,mirella92@borges.gov.br,(071) 3699-6377,"Rodovia de Ribeiro, 789",Rezende,MT,41575-936,2025-03-07T00:00:00
778,Fonseca e Filhos,64.975.180/0001-00,fborges@pereira.com.br,84 5741 2117,Recanto Castro,Machado,MG,61572-151,2023-04-07T00:00:00
779,Barbosa,29.574.631/0001-04,bianca47@vargas.edu.br,0900-814-8352,"Colônia Maria Laura Fernandes, 81",Almeida da Mata,ES,92614-153,2023-01-14T00:00:00
780,Sampaio,48.719.230/0001-31,joseleao@carvalho.br,+55 (011) 7662-8914,"Loteamento de Santos, 719",Fernandes do Sul,PR,35042-045,2026-05-23T00:00:00
781,Fogaça Ltda.,85.307.291/0001-18,vfernandes@borges.gov.br,(021) 3622 1391,"Vale Novaes, 6",Monteiro,DF,34487981,2024-11-12T00:00:00
782,Andrade Cunha Ltda.,14.723.856/0001-08,prodrigues@castro.org,(081) 9913 8534,"Largo Emanuella Lima, 50",Mendes,RR,44523039,2024-09-15T00:00:00
783,Santos,90.721.865/0001-30,tda-luz@machado.edu.br,+55 84 1143 3295,"Recanto Anthony Gabriel da Cruz, 49",Novaes do Campo,MS,94874-578,2023-01-20T00:00:00
784,Pires,76.934.825/0001-45,teixeiracaio@ferreira.gov.br,61 9855-2525,"Rua Antonella Azevedo, 708",Azevedo das Pedras,CE,04363521,2024-05-21T00:00:00
785,Barbosa S/A,13.890.564/0001-99,antoniosiqueira@ribeiro.com.br,0900-847-0629,"Rua Laís Sampaio, 7",Mendes,ES,04214653,2024-08-09T00:00:00
786,das Neves - ME,75.804.613/0001-80,rael72@sousa.com,(071) 4157 1299,"Colônia da Conceição, 61",Pimenta,PB,63784-702,2023-04-03T00:00:00
